Number 1,Dataset,Pnumber,Cellline,Rawfile,Name,PX Accession,intrument,,00523_D02_P003815_B0L_A00_R1.RAW,PXD005940
117,full proteome of 59 cell lines,P001356,K-562,000228_C08_P001356_B00K_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_C01_P003819_B0C_A00_R2.RAW,PXD005940
118,full proteome of 59 cell lines,P001356,K-562,000228_A08_P001356_B00I_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D07_P003817_B0D_A00_R1.RAW,PXD005940
119,full proteome of 59 cell lines,P001356,K-562,000228_F07_P001356_B00F_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A05_P003816_B0I_A00_R1.RAW,PXD005940
120,full proteome of 59 cell lines,P001356,K-562,000228_D08_P001356_B00L_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H11_P003814_B0P_A00_R1.RAW,PXD005940
121,full proteome of 59 cell lines,P001357,BT-549,000228_B06_P001357_B00F_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A12_P003814_B0Q_A00_R1.RAW,PXD005940
122,full proteome of 59 cell lines,P001357,BT-549,000228_E06_P001357_B00I_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E01_P003811_B0E_A00_R1.RAW,PXD005940
123,full proteome of 59 cell lines,P001357,BT-549,000228_G06_P001357_B00K_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F03_P003815_B0V_A00_R1.RAW,PXD005940
124,full proteome of 59 cell lines,P001357,BT-549,000228_C06_P001357_B00G_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G12_P003814_B0W_A00_R1.RAW,PXD005940
125,full proteome of 59 cell lines,P001357,BT-549,000228_D06_P001357_B00H_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E04_P003816_B0E_A00_R1.RAW,PXD005940
126,full proteome of 59 cell lines,P001357,BT-549,000228_H05_P001357_B00D_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A09_P003817_B0Q_A00_R1.RAW,PXD005940
127,full proteome of 59 cell lines,P001357,BT-549,000228_G05_P001357_B00C_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G07_P003817_B0G_A00_R1.RAW,PXD005940
128,full proteome of 59 cell lines,P001357,BT-549,000228_E05_P001357_B00A_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H05_P003816_B0P_A00_R1.RAW,PXD005940
129,full proteome of 59 cell lines,P001357,BT-549,000228_F05_P001357_B00B_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C09_P003817_B0S_A00_R1.RAW,PXD005940
130,full proteome of 59 cell lines,P001357,BT-549,000228_A06_P001357_B00E_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C04_P003816_B0C_A00_R1.RAW,PXD005940
131,full proteome of 59 cell lines,P001357,BT-549,000228_H06_P001357_B00L_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C08_P003817_B0K_A00_R1.RAW,PXD005940
132,full proteome of 59 cell lines,P001357,BT-549,000228_F06_P001357_B00J_A00_R1.RAW,BT-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F09_P003817_B0V_A00_R1.RAW,PXD005940
133,full proteome of 59 cell lines,P001358,EKVX,000228_C04_P001358_B00C_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F11_P003814_B0N_A00_R1.RAW,PXD005940
134,full proteome of 59 cell lines,P001358,EKVX,000228_C05_P001358_B00K_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B08_P003817_B0J_A00_R1.RAW,PXD005940
135,full proteome of 59 cell lines,P001358,EKVX,000228_F04_P001358_B00F_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H11_P003818_B0P_A00_R1.RAW,PXD005940
136,full proteome of 59 cell lines,P001358,EKVX,000228_A04_P001358_B00A_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C01_P003811_B0C_A00_R1.RAW,PXD005940
137,full proteome of 59 cell lines,P001358,EKVX,000228_D04_P001358_B00D_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H04_P003812_B0H_A00_R1.RAW,PXD005940
138,full proteome of 59 cell lines,P001358,EKVX,000228_H04_P001358_B00H_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C04_P003812_B0C_A00_R1.RAW,PXD005940
139,full proteome of 59 cell lines,P001358,EKVX,000228_B04_P001358_B00B_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H03_P003811_B0X_A00_R1.RAW,PXD005940
140,full proteome of 59 cell lines,P001358,EKVX,000228_B05_P001358_B00J_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D06_P003812_B0T_A00_R1.RAW,PXD005940
141,full proteome of 59 cell lines,P001358,EKVX,000228_E04_P001358_B00E_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D10_P003818_B0D_A00_R1.RAW,PXD005940
142,full proteome of 59 cell lines,P001358,EKVX,000228_D05_P001358_B00L_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C07_P003813_B0C_A00_R1.RAW,PXD005940
143,full proteome of 59 cell lines,P001358,EKVX,000228_A05_P001358_B00I_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G06_P003816_B0W_A00_R1.RAW,PXD005940
144,full proteome of 59 cell lines,P001358,EKVX,000228_G04_P001358_B00G_A00_R1.RAW,EKVX cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E06_P003816_B0U_A00_R1.RAW,PXD005940
145,full proteome of 59 cell lines,P001359,HOP-62,000228_H02_P001359_B00D_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G03_P003811_B0W_A00_R1.RAW,PXD005940
146,full proteome of 59 cell lines,P001359,HOP-62,000228_D03_P001359_B00H_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E09_P003813_B0U_A00_R1.RAW,PXD005940
147,full proteome of 59 cell lines,P001359,HOP-62,000228_C03_P001359_B00G_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C12_P003814_B0S_A00_R1.RAW,PXD005940
148,full proteome of 59 cell lines,P001359,HOP-62,000228_A03_P001359_B00E_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H10_P003818_B0H_A00_R1.RAW,PXD005940
149,full proteome of 59 cell lines,P001359,HOP-62,000228_E02_P001359_B00A_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B04_P003816_B0B_A00_R1.RAW,PXD005940
150,full proteome of 59 cell lines,P001359,HOP-62,000228_F02_P001359_B00B_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D11_P003818_B0L_A00_R1.RAW,PXD005940
151,full proteome of 59 cell lines,P001359,HOP-62,000228_H03_P001359_B00L_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D08_P003817_B0L_A00_R1.RAW,PXD005940
152,full proteome of 59 cell lines,P001359,HOP-62,000228_E03_P001359_B00I_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H01_P003811_B0H_A00_R1.RAW,PXD005940
153,full proteome of 59 cell lines,P001359,HOP-62,000228_F03_P001359_B00J_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A07_P003813_B0I_A00_R1.RAW,PXD005940
154,full proteome of 59 cell lines,P001359,HOP-62,000228_G02_P001359_B00C_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C07_P003817_B0C_A00_R1.RAW,PXD005940
155,full proteome of 59 cell lines,P001359,HOP-62,000228_B03_P001359_B00F_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C10_P003818_B0C_A00_R1.RAW,PXD005940
156,full proteome of 59 cell lines,P001359,HOP-62,000228_G03_P001359_B00K_A00_R1.RAW,HOP-62 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F03_P003811_B0V_A00_R1.RAW,PXD005940
157,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_B02_P001360_B00J_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F02_P003815_B0N_A00_R1.RAW,PXD005940
158,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_A01_P001360_B00A_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H01_P003815_B0H_A00_R1.RAW,PXD005940
159,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_D02_P001360_B00L_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G12_P003818_B0W_A00_R1.RAW,PXD005940
160,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_C01_P001360_B00C_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_H02_P003819_B0P_A00_R1.RAW,PXD005940
161,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_H01_P001360_B00H_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G10_P003814_B0G_A00_R1.RAW,PXD005940
162,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_A02_P001360_B00I_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E07_P003817_B0E_A00_R1.RAW,PXD005940
163,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_B01_P001360_B00B_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C08_P003813_B0K_A00_R1.RAW,PXD005940
164,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_G01_P001360_B00G_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_G03_P003819_B0W_A00_R1.RAW,PXD005940
165,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_E01_P001360_B00E_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F06_P003812_B0V_A00_R1.RAW,PXD005940
166,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_C02_P001360_B00K_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F07_P003813_B0F_A00_R1.RAW,PXD005940
167,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_F01_P001360_B00F_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B05_P003816_B0J_A00_R1.RAW,PXD005940
168,full proteome of 59 cell lines,P001360,SK-MEL-28,000228_D01_P001360_B00D_A00_R1.RAW,SK-MEL-28 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A03_P003815_B0Q_A00_R1.RAW,PXD005940
169,full proteome of 59 cell lines,P001386,T47D,000234_H09_P001386_B00I_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G11_P003814_B0O_A00_R1.RAW,PXD005940
170,full proteome of 59 cell lines,P001386,T47D,000234_F09_P001386_B00G_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B09_P003817_B0R_A00_R1.RAW,PXD005940
171,full proteome of 59 cell lines,P001386,T47D,000234_B10_P001386_B00K_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H09_P003817_B0X_A00_R1.RAW,PXD005940
172,full proteome of 59 cell lines,P001386,T47D,000234_C10_P001386_B00L_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C06_P003816_B0S_A00_R1.RAW,PXD005940
173,full proteome of 59 cell lines,P001386,T47D,000234_A09_P001386_B00B_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E10_P003814_B0E_A00_R1.RAW,PXD005940
174,full proteome of 59 cell lines,P001386,T47D,000234_A10_P001386_B00J_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_D01_P003819_B0D_A00_R2.RAW,PXD005940
175,full proteome of 59 cell lines,P001386,T47D,000234_D09_P001386_B00E_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F02_P003811_B0N_A00_R1.RAW,PXD005940
176,full proteome of 59 cell lines,P001386,T47D,000234_G09_P001386_B00H_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E09_P003817_B0U_A00_R1.RAW,PXD005940
177,full proteome of 59 cell lines,P001386,T47D,000234_E09_P001386_B00F_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D07_P003813_B0D_A00_R1.RAW,PXD005940
178,full proteome of 59 cell lines,P001386,T47D,000234_C09_P001386_B00D_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D02_P003811_B0L_A00_R1.RAW,PXD005940
179,full proteome of 59 cell lines,P001386,T47D,000234_B09_P001386_B00C_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_B03_P003819_B0R_A00_R1.RAW,PXD005940
180,full proteome of 59 cell lines,P001386,T47D,000234_H08_P001386_B00A_A00_R1.RAW,T-47D cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H04_P003816_B0H_A00_R1.RAW,PXD005940
181,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_D07_P001387_B00A_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A07_P003813_B0A_A00_R1.RAW,PXD005940
182,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_D08_P001387_B00I_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E04_P003812_B0E_A00_R1.RAW,PXD005940
183,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_F07_P001387_B00C_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E03_P003811_B0U_A00_R1.RAW,PXD005940
184,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_G07_P001387_B00D_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A04_P003816_B0A_A00_R1.RAW,PXD005940
185,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_A08_P001387_B00F_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G05_P003816_B0O_A00_R1.RAW,PXD005940
186,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_G08_P001387_B00L_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H07_P003813_B0H_A00_R1.RAW,PXD005940
187,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_C08_P001387_B00H_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D09_P003817_B0T_A00_R1.RAW,PXD005940
188,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_B08_P001387_B00G_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A06_P003816_B0Q_A00_R1.RAW,PXD005940
189,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_F08_P001387_B00K_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_A01_P003819_B0A_A00_R2.RAW,PXD005940
190,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_E08_P001387_B00J_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E12_P003814_B0U_A00_R1.RAW,PXD005940
191,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_E07_P001387_B00B_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_B01_P003819_B0B_A00_R2.RAW,PXD005940
192,full proteome of 59 cell lines,P001387,MDA-MB-435,000234_H07_P001387_B00E_A00_R1.RAW,MDA-MB-435 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E06_P003812_B0U_A00_R1.RAW,PXD005940
193,full proteome of 59 cell lines,P001388,SR,000234_A07_P001388_B00J_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_E02_P003819_B0M_A00_R2.RAW,PXD005940
194,full proteome of 59 cell lines,P001388,SR,000234_C06_P001388_B00D_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E08_P003817_B0M_A00_R1.RAW,PXD005940
195,full proteome of 59 cell lines,P001388,SR,000234_B06_P001388_B00C_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D04_P003816_B0D_A00_R1.RAW,PXD005940
196,full proteome of 59 cell lines,P001388,SR,000234_D06_P001388_B00E_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B07_P003813_B0B_A00_R1.RAW,PXD005940
197,full proteome of 59 cell lines,P001388,SR,000234_A06_P001388_B00B_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E03_P003815_B0U_A00_R1.RAW,PXD005940
198,full proteome of 59 cell lines,P001388,SR,000234_G06_P001388_B00H_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F01_P003811_B0F_A00_R1.RAW,PXD005940
199,full proteome of 59 cell lines,P001388,SR,000234_E06_P001388_B00F_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F10_P003818_B0F_A00_R1.RAW,PXD005940
200,full proteome of 59 cell lines,P001388,SR,000234_H05_P001388_B00A_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D05_P003812_B0L_A00_R1.RAW,PXD005940
201,full proteome of 59 cell lines,P001388,SR,000234_C07_P001388_B00L_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E01_P003815_B0E_A00_R1.RAW,PXD005940
202,full proteome of 59 cell lines,P001388,SR,000234_B07_P001388_B00K_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B06_P003816_B0R_A00_R1.RAW,PXD005940
203,full proteome of 59 cell lines,P001388,SR,000234_H06_P001388_B00I_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G04_P003816_B0G_A00_R1.RAW,PXD005940
204,full proteome of 59 cell lines,P001388,SR,000234_F06_P001388_B00G_A00_R1.RAW,SR cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C06_P003812_B0S_A00_R1.RAW,PXD005940
205,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_C05_P001389_B00H_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H10_P003814_B0H_A00_R1.RAW,PXD005940
206,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_H04_P001389_B00E_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G08_P003817_B0O_A00_R1.RAW,PXD005940
207,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_G05_P001389_B00L_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F07_P003817_B0F_A00_R1.RAW,PXD005940
208,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_E04_P001389_B00B_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B02_P003811_B0J_A00_R1.RAW,PXD005940
209,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_E05_P001389_B00J_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H12_P003818_B0X_A00_R1.RAW,PXD005940
210,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_A05_P001389_B00F_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A11_P003818_B0I_A00_R1.RAW,PXD005940
211,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_D05_P001389_B00I_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F09_P003813_B0V_A00_R1.RAW,PXD005940
212,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_D04_P001389_B00A_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G05_P003812_B0O_A00_R1.RAW,PXD005940
213,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_B05_P001389_B00G_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D11_P003814_B0L_A00_R1.RAW,PXD005940
214,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_F04_P001389_B00C_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D12_P003814_B0T_A00_R1.RAW,PXD005940
215,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_F05_P001389_B00K_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_E01_P003819_B0E_A00_R2.RAW,PXD005940
216,full proteome of 59 cell lines,P001389,MDA-MB-231,000234_G04_P001389_B00D_A00_R1.RAW,MDA-MB-231 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000194_A01_P0001134_B00_A00_R1.RAW,PXD005942
217,full proteome of 59 cell lines,P001390,LOX IMVI,000234_A03_P001390_B00B_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000124_G01_P000752_B00_A00_R1.RAW,PXD005942
218,full proteome of 59 cell lines,P001390,LOX IMVI,000234_F03_P001390_B00G_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_C01_P000807_B00_A00_R1.RAW,PXD005942
219,full proteome of 59 cell lines,P001390,LOX IMVI,000234_D03_P001390_B00E_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_E01_P000702_B00_A00_R1.RAW,PXD005942
220,full proteome of 59 cell lines,P001390,LOX IMVI,000234_H02_P001390_B00A_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_G01_P000803_B00_A00_R1.RAW,PXD005942
221,full proteome of 59 cell lines,P001390,LOX IMVI,000234_H03_P001390_B00I_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_H02_P000826_B00_A00_R1.RAW,PXD005942
222,full proteome of 59 cell lines,P001390,LOX IMVI,000234_G03_P001390_B00H_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_E01_P000805_B00_A00_R1.RAW,PXD005942
223,full proteome of 59 cell lines,P001390,LOX IMVI,000234_B04_P001390_B00K_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000124_G02_P000757_B00_A00_R1.RAW,PXD005942
224,full proteome of 59 cell lines,P001390,LOX IMVI,000234_E03_P001390_B00F_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_F03_P000820_B00_A00_R1.RAW,PXD005942
225,full proteome of 59 cell lines,P001390,LOX IMVI,000234_C04_P001390_B00L_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_F01_P000804_B00_A00_R1.RAW,PXD005942
226,full proteome of 59 cell lines,P001390,LOX IMVI,000234_B03_P001390_B00C_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000194_C01_P0001136_B00_A00_R2.RAW,PXD005942
227,full proteome of 59 cell lines,P001390,LOX IMVI,000234_C03_P001390_B00D_A00_R1.RAW,LOX-IMVI cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_E02_P000712_B00_A00_R1.RAW,PXD005942
